dept_code,Autre,Dermatologie,Hépato-gastro-entérologie,Infectiologie,Oncologie,Oncologie Digestive,Oncologie Gynécologique,Oncologie ORL,Oncologie Pneumologique,Oncologie Sénologique,Pneumologie
01,878452.0,220.0,35.0,6696.0,37446.0,2226.0,244.0,469.0,997.0,1332.0,89.0
02,831779.0,214.0,52.0,7585.0,34508.0,2281.0,237.0,521.0,985.0,1249.0,30.0
03,555980.0,228.0,14.0,4600.0,26628.0,1612.0,207.0,317.0,736.0,928.0,12.0
04,276648.0,40.0,14.0,1386.0,13667.0,1024.0,94.0,158.0,474.0,427.0,6.0
05,228814.0,60.0,4.0,1813.0,11200.0,628.0,86.0,105.0,223.0,402.0,10.0
06,1830125.0,801.0,97.0,11395.0,97252.0,5269.0,556.0,976.0,2244.0,2625.0,117.0
07,535730.0,190.0,21.0,4101.0,26152.0,1561.0,222.0,326.0,630.0,782.0,25.0
08,419983.0,107.0,12.0,3460.0,15614.0,1029.0,128.0,211.0,566.0,576.0,12.0
09,249462.0,25.0,5.0,1633.0,11260.0,784.0,85.0,157.0,366.0,412.0,3.0
10,436065.0,90.0,24.0,2532.0,20196.0,1245.0,144.0,325.0,625.0,717.0,34.0
11,653377.0,94.0,25.0,4328.0,25724.0,1928.0,209.0,413.0,815.0,993.0,32.0
12,418491.0,65.0,37.0,2145.0,18099.0,1217.0,167.0,240.0,554.0,638.0,37.0
13,3475162.0,630.0,223.0,24273.0,144196.0,8445.0,948.0,1529.0,4505.0,4731.0,249.0
14,1075169.0,364.0,56.0,9084.0,45189.0,2413.0,367.0,591.0,1196.0,1697.0,64.0
15,237221.0,126.0,8.0,2474.0,10879.0,780.0,64.0,149.0,269.0,363.0,3.0
16,514954.0,138.0,16.0,2902.0,23416.0,1438.0,206.0,258.0,600.0,921.0,13.0
17,966865.0,228.0,30.0,6240.0,46839.0,3055.0,328.0,584.0,1277.0,1773.0,26.0
18,420305.0,104.0,8.0,3985.0,19578.0,1451.0,171.0,342.0,531.0,700.0,21.0
19,363231.0,66.0,9.0,2966.0,17258.0,1221.0,145.0,188.0,464.0,690.0,3.0
21,803040.0,210.0,37.0,5577.0,35662.0,1982.0,242.0,357.0,864.0,1266.0,55.0
22,926242.0,375.0,30.0,6537.0,46706.0,2827.0,284.0,593.0,1231.0,1590.0,62.0
23,190940.0,55.0,6.0,1465.0,8938.0,668.0,60.0,106.0,273.0,272.0,5.0
24,675463.0,127.0,32.0,3929.0,32646.0,1945.0,282.0,438.0,856.0,992.0,50.0
25,710721.0,138.0,32.0,5578.0,31796.0,2004.0,238.0,306.0,846.0,1199.0,23.0
26,743149.0,279.0,25.0,6047.0,35368.0,2231.0,268.0,356.0,768.0,1170.0,37.0
27,873502.0,237.0,11.0,6981.0,37536.0,2253.0,294.0,531.0,1097.0,1590.0,44.0
28,616556.0,112.0,34.0,4600.0,25396.0,1841.0,174.0,321.0,566.0,930.0,44.0
29,1425456.0,430.0,68.0,10562.0,73986.0,4103.0,474.0,807.0,2314.0,2448.0,58.0
30,1212443.0,309.0,47.0,7597.0,55366.0,3670.0,502.0,829.0,1783.0,2058.0,79.0
31,2063869.0,312.0,99.0,11693.0,84586.0,4579.0,669.0,897.0,2144.0,2797.0,158.0
32,322572.0,51.0,6.0,1806.0,15415.0,895.0,141.0,109.0,468.0,456.0,14.0
33,2589356.0,384.0,174.0,15049.0,108958.0,6107.0,768.0,1121.0,2916.0,3714.0,198.0
34,1924127.0,430.0,94.0,11794.0,94312.0,5570.0,635.0,1084.0,2948.0,2890.0,92.0
35,1415727.0,388.0,80.0,9660.0,57922.0,3280.0,468.0,599.0,1166.0,2294.0,120.0
36,309686.0,53.0,7.0,2070.0,16370.0,1063.0,126.0,200.0,356.0,498.0,17.0
37,843008.0,90.0,54.0,5651.0,37646.0,2237.0,252.0,512.0,884.0,1462.0,73.0
38,1782940.0,491.0,89.0,10691.0,78714.0,4212.0,508.0,802.0,1946.0,2765.0,127.0
39,366385.0,127.0,10.0,3215.0,18000.0,1161.0,107.0,161.0,477.0,636.0,4.0
40,681084.0,170.0,12.0,4161.0,33501.0,2155.0,244.0,308.0,830.0,1052.0,13.0
41,436102.0,73.0,24.0,3061.0,19086.0,1350.0,128.0,353.0,432.0,798.0,15.0
42,1252460.0,288.0,76.0,9778.0,57622.0,3551.0,362.0,719.0,1324.0,1954.0,64.0
43,401347.0,126.0,5.0,3021.0,19143.0,1103.0,122.0,205.0,391.0,578.0,9.0
44,2103495.0,633.0,99.0,11183.0,104302.0,5211.0,662.0,1150.0,2324.0,4324.0,199.0
45,870696.0,275.0,43.0,6218.0,41914.0,2613.0,249.0,530.0,1114.0,1650.0,105.0
